order_id,order_date,customer_id,customer_segment,customer_acquisition_date,customer_country,customer_state,customer_city,customer_zipcode,region,sku,product_category,product_subcategory,product_name,quantity,unit_price,unit_cost,gross_sales,discount_percent,discount_amount,net_sales,total_product_cost,order_profit,marketing_campaign,marketing_channel,marketing_cost_per_click,shipping_mode,shipping_date,delivery_date,actual_shipping_days,shipping_cost,shipping_charge_to_customer,payment_method,customer_satisfaction_score,order_returned
ORD-101605,2024-11-03,CUST-00660,Fashion Forward,2023-08-26,US,California,LA,90001,West,APPA-HOOD-501,Apparel & Clothing,Outerwear,Urban Fleece Streetwear Hoodie,4,65.0,18.0,260.0,0.0,0.0,260.0,72.0,188.0,NO_CAMP,Organic,0.0,standard,2024-11-05,2024-11-10,5,11.0,0.0,PayPal,3.0,1
ORD-103711,2026-02-26,CUST-01163, Budget Conscious  ,2025-09-08,UK,Lancashire,Manchester,M1 1AE,Europe,BEAU-SHMP-702,Beauty & Personal Care,Haircare,Botanical Renew Strengthening Shampoo,1,22.0,3.8,22.0,0.0,0.0,22.0,3.8,18.2,CAMP_SPRING_CLEAN,Influencer,0.6,Standard,2026-02-27,2026-03-03,4,6.5,7.8,PayPal,5.0,0
ORD-103374,2024-05-17,CUST-00063,Health & Beauty,2025-05-13,US,Illinois,Chicago,60601,Midwest,BEAU-CREM-703,Beauty & Personal Care,Skincare,Ceramide Barrier Repair Night Cream,1,42.0,6.0,42.0,0.0,0.0,,6.0,36.0,CAMP_SUMMER_25,Email,0.05,Express,2024-05-20,2024-05-22,2,8.5,10.2,Credit Card,4.0,0
ORD-104141,2026-04-07,,Fashion Forward,2024-07-26,Canada,Ontario,Torontoo,M5V 1J2,North,APPA-SHOE-504,Apparel & Clothing,Footwear,Stratus Aero Running Shoes,1,120.0,35.0,120.0,0.05,6.0,114.0,35.0,79.0,CAMP_HOLIDAY_REACH,Social Media,0.35,Standard,2026-04-08,2026-04-13,5,6.5,0.0,Credit Card,5.0,0
ORD-102106,2026-02-07,CUST-00694,Budget Conscious,2025-05-06,UK,England,LON,,Europe,APPA-SHOE-504,Apparel & Clothing,Footwear,Stratus Aero Running Shoes,2,120.0,35.0,240.0,0.0,0.0,240.0,70.0,170.0,CAMP_RETARGET_90,Display,0.15,Express,2026-02-10,2026-02-12,2,10.0,0.0,Credit Card,4.0,0
ORD-102783,2026-04-24,CUST-00810, Tech Enthusiasts  ,2025-05-29,UK,England,LON,EC1A 1BB,Europe,ELEC-SMART-101,ELECTRONICS,Smartphones,Quantum X1 Smartphone,1,799.0,450.0,799.0,0.2,159.8,639.2,450.0,189.2,CAMP_BLACK_FRIDAY,Paid Search,0.45,Standard,2026-04-26,2026-05-02,6,6.5,0.0,PayPal,5.0,0
ORD-104415,2024-01-02,CUST-00563,tech enthusiasts,2024-04-20,DE,Bavaria,Munich,80331,Europe,ELEC-EAR-303,ELECTRONICS,Audio,SonicWave Noise-Cancelling Earbuds,1,149.0,45.0,149.0,0.0,0.0,149.0,45.0,104.0,CAMP_HOLIDAY_REACH,Social Media,0.35,Standard,,2024-01-09,4,6.5,0.0,Credit Card,5.0,0
ORD-101225,2024-07-14,CUST-00816,Fashion Forward,2024-09-24,US,California,LA,90001,West,APPA-HOOD-501,Apparel & Clothing,Outerwear,Urban Fleece Streetwear Hoodie,1,65.0,18.0,65.0,0.05,3.25,61.75,18.0,43.75,CAMP_SUMMER_25,Email,0.05,Express,2024-07-15,2024-07-18,3,8.5,10.2,Credit Card,5.0,0
ORD-105201,2026-01-20,CUST-00659, Home Decorators  ,2023-10-26,US,Washington,Seattle,,West,HOME-AIRF-601,Home/Kitchen,Appliances,AeroCrisp Digital Air Fryer XL,1,139.99,55.0,139.99,0.0,0.0,139.99,55.0,84.99,CAMP_SPRING_CLEAN,Influencer,0.6,Economy,2026-01-22,2026-01-29,7,6.5,0.0,Credit Card,5.0,0
ORD-101696,2025-12-28,CUST-00392,Fashion Forward,2024-09-26,UK,England,LON,EC1A 1BB,Europe,APPA-TSHR-503,Apparel & Clothing, Tops  ,Organic Cotton Premium T-Shirt,1,28.0,6.5,28.0,0.1,2.8,25.2,6.5,18.7,NO_CAMP,Organic,0.0,Economy,2025-12-31,2026-01-07,7 days,6.5,0.0,Credit Card,5.0,0
ORD-102555,2025-03-21,CUST-00763,Budget Conscious,2025-03-19,DE,Bavaria,Munich,80331,Europe,SPRT-TENT-803,Sports & Outdoors,Camping,Outback 4-Person Waterproof Tent,1,179.5,65.0,179.5,0.3,53.85,125.65,65.0,60.65,CAMP_BLACK_FRIDAY,Paid Search,0.45,Standard,2025-03-24,2025-03-28,4,6.5,0.0,Credit Card,5.0,0
ORD-101796,2024-08-28,CUST-00050,Budget Conscious,2023-12-30,US,Illinois,Chicago,60601,Midwest,HOME-AIRF-601,HOME & KITCHEN,Appliances,AeroCrisp Digital Air Fryer XL,1,139.99,55.0,139.99,0.3,42.0,97.99,55.0,42.99,CAMP_BLACK_FRIDAY,Paid Search,0.45,Standard,2024-08-31,2024-09-07,7,6.5,0.0,PayPal,4.0,0
ORD-100976,2025-12-14,CUST-01091,General Retail,2024-01-21,US,Texas,Houston,77001,South,APPA-TSHR-503,Apparel & Clothing,Tops,Organic Cotton Premium T-Shirt,1,28.0,6.5,28.0,0.0,0.0,28.0,6.5,21.5,CAMP_SPRING_CLEAN,Influencer,0.6,Express,2025-12-17,2025-12-19,2 days,8.5,10.2,Credit Card,,0
ORD-101643,2024-11-09,CUST-00057,Tech Enthusiasts,2023-09-08,UK,Lancashire,Manchester,M1 1AE,Europe,ELEC-EAR-303,ELECTRONICS,Audio,SonicWave Noise-Cancelling Earbuds,1,149.0,45.0,149.0,0.0,0.0,149.0,45.0,104.0,CAMP_SPRING_CLEAN,Influencer,0.6,Express,2024-11-12,2024-11-14,2 days,8.5,0.0,Apple Pay,5.0,0
ORD-104914,2025-10-07,CUST-01139,Fashion Forward,2024-10-17,UK,Lancashire,Manchester,M1 1AE,Europe,APPA-DENM-502,Apparel & Clothing,Bottoms,Classic Slim-Fit Denim Jeans,1,88.0,22.0,88.0,0.2,17.6,70.4,22.0,48.4,CAMP_BLACK_FRIDAY,Paid Search,0.45,Express,2025-10-09,2025-10-12,3,8.5,10.2,Debit Card,4.0,0
ORD-103700,2026-04-08,CUST-01010,Fashion Forward,2023-04-21,UK,England,LON,EC1A 1BB,Europe,SPRT-MAT-801,Sports & Outdoors,Fitness,EcoGrip Non-Slip 6mm Yoga Mat,1,34.99,10.0,34.99,0.0,0.0,34.99,10.0,24.99,NO_CAMP,Organic,0.0,Standard,2026-04-11,2026-04-16,5,6.5,7.8,PayPal,4.0,0
ORD-103812,2025-05-02,CUST-00338,Home Decorators,2023-12-06,Canada,Ontario,Torontoo,M5V 1J2,North,BEAU-SERM-701,Beauty & Personal Care,Skincare,HydraGlow Hyaluronic Acid Serum,1,35.0,4.5,35.0,0.0,0.0,35.0,4.5,30.5,CAMP_HOLIDAY_REACH,Social Media,0.35,Standard,2025-05-05,2025-05-15,10 days,6.5,7.8,Debit Card,3.0,0
ORD-100439,2025-03-18,CUST-00553,FASHION FORWARD,2024-07-05,Australia,New South Wales,Sydney,2000,APAC,APPA-SHOE-504, Apparel  ,Footwear,Stratus Aero Running Shoes,1,120.0,35.0,120.0,0.0,0.0,120.0,35.0,85.0,CAMP_RETARGET_90,Display,0.15,Standard,2025-03-20,2025-03-24,4,6.5,0.0,PayPal,3.0,1
ORD-105021,2025-10-16,CUST-00795,Tech Enthusiasts,2023-04-13,France,Île-de-France,Paris,75001,Europe,ELEC-EAR-303,ELECTRONICS,Audio,SonicWave Noise-Cancelling Earbuds,1,149.0,45.0,149.0,0.0,0.0,149.0,45.0,104.0,CAMP_SPRING_CLEAN,Influencer,0.6,Express,2025-10-18,2025-10-20,2,8.5,0.0,PayPal,4.0,0
ORD-104454,2025-12-03,CUST-00563,Tech Enthusiasts,2024-04-20,DE,Bavaria,Munich,,Europe,ELEC-EAR-303,ELECTRONICS,Audio,SonicWave Noise-Cancelling Earbuds,1,149.0,45.0,149.0,0.0,0.0,149.0,45.0,104.0,CAMP_RETARGET_90,Display,0.15,Express,2025-12-05,2025-12-07,2 days,8.5,0.0,Debit Card,5.0,0
ORD-100343,2026-04-04,,budget conscious,2024-03-28,UK,England,LON,EC1A 1BB,Europe,HOME-BLND-602,Home/Kitchen,Appliances,Vortex Pro High-Speed Blender,1,99.0,40.0,99.0,0.1,9.9,89.1,40.0,49.1,CAMP_SPRING_CLEAN,Influencer,0.6,Standard,2026-04-06,2026-04-11,5 days,6.5,0.0,APPLE PAY,5.0,0
ORD-104963,2024-01-27,CUST-00699,Budget Conscious,2024-08-13,US,Texas,Austin,78701,South,BEAU-SHMP-702,Beauty & Personal Care,Haircare,Botanical Renew Strengthening Shampoo,1,22.0,3.8,22.0,0.0,0.0,22.0,3.8,18.2,NO_CAMP,Organic,0.0,Standard,2024-01-30,2024/02/03,4,6.5,7.8,Debit Card,5.0,0
ORD-100765,2025-10-23,CUST-00845,Tech Enthusiasts,2024-11-13,US,Texas,Austin,78701,South,ELEC-LAP-202,ELECTRONICS,Laptops,Apex Pro 15-inch Laptop,1,1299.0,750.0,1299.0,0.0,0.0,1299.0,750.0,549.0,CAMP_HOLIDAY_REACH,Social Media,0.35,Standard,2025-10-25,2025-10-29,4,6.5,0.0,Credit Card,4.0,0
ORD-101451,2026-04-10,CUST-00889,Tech Enthusiasts,2023-05-15,UK,Lancashire,Manchester,M1 1AE,Europe,ELEC-EAR-303,ELECTRONICS,Audio,SonicWave Noise-Cancelling Earbuds,1,149.0,45.0,149.0,0.0,0.0,149.0,45.0,104.0,NO_CAMP,Organic,0.0,Express,2026-04-11,2026-04-13,2 days,8.5,0.0,Credit Card,5.0,0
ORD-100334,2025-02-26,CUST-00037,Budget Conscious,2024-09-25,UK,England,LON,EC1A 1BB,Europe,ELEC-CHG-404,ELECTRONICS,Accessories,Multi-Port Fast Charger 65W,1,39.99,12.0,39.99,0.1,4.0,35.99,12.0,23.99,CAMP_SPRING_CLEAN,Influencer,0.6,Express,2025-03-01,2025-03-03,2,8.5,10.2,PayPal,4.0,0
ORD-102487,2025-08-01,CUST-00078,Tech Enthusiasts,2023-09-10,US,New York,NY,10001,East,ELEC-LAP-202,ELECTRONICS,Laptops,Apex Pro 15-inch Laptop,1,1299.0,750.0,1299.0,0.05,64.95,1234.05,750.0,484.05,CAMP_HOLIDAY_REACH,Social Media,0.35,Standard,2025-08-03,2025-08-08,5,6.5,0.0,Credit Card,5.0,0
ORD-102727,2024-01-13,CUST-00388,Budget Conscious,2025-01-23,DE,Bavaria,Munich,80331,Europe,HOME-AIRF-601,Home/Kitchen,Appliances,AeroCrisp Digital Air Fryer XL,1,139.99,55.0,139.99,0.1,14.0,125.99,55.0,70.99,NO_CAMP,Organic,0.0,Standard,2024-01-14,2024-02-30,7,6.5,0.0,Debit Card,3.0,0
ORD-104457,2024-10-15,CUST-00603,BUDGET CONSCIOUS,2023-07-16,US,New York,NY,10001,East,SPRT-BOTL-802,Sports & Outdoors,Accessories,HydroShield Insulated Stainless Bottle,1,29.99,7.0,29.99,0.05,1.5,28.49,7.0,21.49,CAMP_RETARGET_90,Display,0.15,Standard,2024-10-16,2024-10-25,9 days,6.5,7.8,PayPal,3.0,1
ORD-104448,2025-06-28,CUST-00411,Budget Conscious,2025-02-07,Australia,New South Wales,Sydney,2000,APAC,ELEC-EAR-303,ELECTRONICS,Audio,SonicWave Noise-Cancelling Earbuds,1,149.0,45.0,149.0,0.1,14.9,134.1,45.0,89.1,NO_CAMP,Organic,0.0,Overnight,2025-06-29,2025-07-03,4,11.5,0.0,Apple Pay,3.0,0
ORD-103992,2025-11-22,CUST-00203,Budget Conscious,2025-08-06,US,Texas,Austin,78701,South,APPA-TSHR-503,Apparel & Clothing,Tops,Organic Cotton Premium T-Shirt,2,28.0,6.5,56.0,0.1,5.6,50.4,13.0,37.4,CAMP_SUMMER_25,Email,0.05,Standard,2025-11-23,2025-11-28,5,8.0,9.6,CREDIT CARD,3.0,1
ORD-102030,2024-10-31,CUST-01069,Budget Conscious,2025-04-06,US,Texas,Houston,77001,South,HOME-BLND-602,Home/Kitchen,Appliances,Vortex Pro High-Speed Blender,1,99.0,40.0,99.0,0.1,9.9,89.1,40.0,49.1,CAMP_SPRING_CLEAN,Influencer,0.6,Express,,2024-11-03,2,8.5,0.0,PayPal,5.0,0
ORD-103229,2024-03-31,CUST-01067,Budget Conscious,2025-02-19,US,California,San Francisco,94101,West,SPRT-TENT-803,Sports & Outdoors, Camping  ,Outback 4-Person Waterproof Tent,2,179.5,65.0,359.0,0.1,35.9,323.1,130.0,193.1,NO_CAMP,Organic,0.0,STANDARD,,2024-04-05,4,8.0,0.0,Credit Card,4.0,0
ORD-103068,2024-01-05,CUST-00467,BUDGET CONSCIOUS,2024-03-05,France,Île-de-France,Paris,75001,Europe,HOME-AIRF-601,Home/Kitchen,Appliances,AeroCrisp Digital Air Fryer XL,1,139.99,55.0,139.99,0.0,0.0,139.99,55.0,84.99,CAMP_SUMMER_25,Email,0.05,Standard,2024-01-06,2024-01-11,5 days,6.5,0.0,Credit Card,5.0,0
ORD-101648,2024-04-01,CUST-01014,Tech Enthusiasts,2023-11-26,US,California,San Francisco,94101,West,ELEC-CHG-404,ELECTRONICS,Accessories,Multi-Port Fast Charger 65W,1,39.99,12.0,39.99,0.0,0.0,,12.0,27.99,CAMP_HOLIDAY_REACH,Social Media,0.35,Economy,2024-04-02,2024-04-10,8,6.5,0.0,Credit Card,5.0,0
ORD-100278,2025-09-25,CUST-00565,Budget Conscious,2024-01-24,UK,England,LON,EC1A 1BB,Europe,BEAU-SERM-701,Beauty & Personal Care,Skincare,HydraGlow Hyaluronic Acid Serum,1,35.0,4.5,35.0,0.2,7.0,28.0,4.5,23.5,CAMP_BLACK_FRIDAY,Paid Search,0.45, Standard  ,2025-09-28,2025-10-03,5,6.5,7.8,Credit Card,5.0,0
ORD-104008,2025-09-24,CUST-01040,budget conscious,2024-12-04,US,New York,NY,10001,East,SPRT-BOTL-802,Sports & Outdoors,Accessories,HydroShield Insulated Stainless Bottle,3,29.99,7.0,89.97,0.0,0.0,89.97,21.0,68.97,CAMP_RETARGET_90,Display,0.15,standard,2025-09-25,2025-09-30,5,9.5,0.0,Store Credit,5.0,0
ORD-102402,2025-06-21,CUST-00433,Home Decorators,2025-01-31,US,New York,NY,10001,East,APPA-HOOD-501,Apparel & Clothing,outerwear,Urban Fleece Streetwear Hoodie,1,65.0,18.0,65.0,0.0,0.0,65.0,18.0,47.0,NO_CAMP,Organic,0.0,Standard,2025-06-24,2025-06-30,6,6.5,7.8,Credit Card,3.0,1
ORD-101939,2024-06-16,CUST-00874,Fashion Forward,2023-08-24,DE,Bavaria,Munich,80331,Europe,APPA-TSHR-503,Apparel & Clothing,Tops,Organic Cotton Premium T-Shirt,1,28.0,6.5,28.0,0.0,0.0,28.0,6.5,21.5,NO_CAMP,Organic,0.0,Standard,2024-06-18,2024-06-23,5,6.5,7.8,Debit Card,,0
ORD-104273,2024-11-11,CUST-00945,Budget Conscious,2023-06-08,UK,Lancashire,Manchester,M1 1AE,Europe,APPA-TSHR-503,Apparel & Clothing,Tops,Organic Cotton Premium T-Shirt,1,28.0,6.5,28.0,0.1,2.8,25.2,6.5,18.7,NO_CAMP,Organic,0.0, Standard  ,2024-11-14,2024-11-21,7,6.5,7.8,PayPal,2.0,0
ORD-103495,2024-01-28,CUST-00852,Home Decorators,2024-08-24,US,Illinois,Chicago,60601,Midwest,HOME-AIRF-601,Home/Kitchen,Appliances,AeroCrisp Digital Air Fryer XL,1,139.99,55.0,139.99,0.1,14.0,125.99,55.0,70.99,CAMP_SPRING_CLEAN,Influencer,0.6,Standard,2024-01-30,2024-02-03,4,6.5,0.0,Debit Card,,0
ORD-104777,2024-07-20,CUST-01000,Fashion Forward,2025-08-26,US,Texas,Houston,77001,South,APPA-SHOE-504,Apparel & Clothing,Footwear,Stratus Aero Running Shoes,1,120.0,35.0,120.0,0.0,0.0,120.0,35.0,85.0,CAMP_HOLIDAY_REACH,Social Media,0.35,Express,2024-07-21,2024-07-23,2 days,8.5,0.0,Credit Card,5.0,0
ORD-105224,2025-03-27,CUST-00646,Health & Beauty,2024-08-05,US,Texas,Austin,78701,South,BEAU-CREM-703,Beauty & Personal Care,Skincare,Ceramide Barrier Repair Night Cream,1,42.0,6.0,42.0,0.0,0.0,42.0,6.0,36.0,CAMP_SUMMER_25,Email,0.05,Standard,2025-03-29,2025-04-02,4 days,6.5,7.8,Credit Card,5.0,0
ORD-101394,2024-08-23,CUST-00580,Budget Conscious,2025-02-15,Canada,Ontario,Torontoo,M5V 1J2,North,HOME-BLND-602,Home/Kitchen,Appliances,Vortex Pro High-Speed Blender,1,99.0,40.0,99.0,0.0,0.0,99.0,40.0,59.0,CAMP_SUMMER_25,Email,0.05,Standard,2024-08-24,2024-09-02,9,6.5,0.0,Credit Card,3.0,0
ORD-102184,2025-10-10,CUST-00298,Budget Conscious,2024-01-02,Australia,New South Wales,Sydney,,APAC,BEAU-SERM-701,Beauty & Personal Care,Skincare,HydraGlow Hyaluronic Acid Serum,2,35.0,4.5,70.0,0.1,7.0,63.0,9.0,54.0,CAMP_SUMMER_25,Email,0.05,Standard,2025-10-11,2025-10-15,4,8.0,9.6,Credit Card,4.0,0
ORD-101471,2024-11-07,CUST-00368,General Retail,2023-12-01,US,Florida,Miami,33101,South,APPA-DENM-502,APPAREL,Bottoms,Classic Slim-Fit Denim Jeans,1,88.0,22.0,88.0,0.0,0.0,88.0,22.0,66.0,CAMP_SPRING_CLEAN,Influencer,0.6,Standard,2024-11-09,2024-11-13,4,6.5,0.0,Apple Pay,4.0,0
ORD-101068,2025-12-29,CUST-01124,Health & Beauty,2024-03-16,UK,Lancashire,Manchester,M1 1AE,Europe,BEAU-SHMP-702,Beauty & Personal Care,Haircare,Botanical Renew Strengthening Shampoo,1,22.0,3.8,22.0,0.0,0.0,22.0,3.8,18.2,CAMP_SUMMER_25,Email,0.05,Standard,2025-12-31,2026-01-04,4,6.5,7.8,Credit Card,4.0,0
ORD-102975,2024-03-28,CUST-01094,Fashion Forward,2023-11-16,US,Illinois,Chicago,60601,Midwest,APPA-HOOD-501,Apparel & Clothing,Outerwear,Urban Fleece Streetwear Hoodie,3,65.0,18.0,195.0,0.05,9.75,185.25,54.0,131.25,CAMP_SUMMER_25,Email,0.05,Standard,,2024-04-03,4,9.5,0.0,Debit Card,5.0,0
ORD-100612,2024-03-19,CUST-00169,Tech Enthusiasts,2023-07-14,US,Florida,Miami,,South,APPA-HOOD-501,Apparel & Clothing,Outerwear,Urban Fleece Streetwear Hoodie,1,65.0,18.0,65.0,0.0,0.0,65.0,18.0,47.0,CAMP_RETARGET_90,Display,0.15,Standard,2024-03-21,2024-03-25,4 days,6.5,7.8,PayPal,3.0,1
ORD-104061,2024-05-19,CUST-01070,Budget Conscious,2025-05-15,US,Florida,Miami,33101,South,ELEC-LAP-202,ELECTRONICS,Laptops,Apex Pro 15-inch Laptop,1,1299.0,750.0,1299.0,0.0,0.0,1299.0,750.0,549.0,CAMP_RETARGET_90,Display,0.15,Standard,2024-05-20,2024-05-24,4 days,6.5,0.0,Credit Card,5.0,0
ORD-100175,2024-03-25,CUST-00910,Budget Conscious,2024-02-11,UK,England,LON,,Europe,SPRT-MAT-801,Sports & Outdoors,Fitness,EcoGrip Non-Slip 6mm Yoga Mat,1,34.99,10.0,34.99,0.2,7.0,27.99,10.0,17.99,CAMP_BLACK_FRIDAY,Paid Search,0.45,Overnight,2024-03-28,2024-03-30,2,11.5,13.8,Credit Card,4.0,0
ORD-105020,2024-07-29,CUST-00166,Health & Beauty,2024-04-29,Canada,British Columbia,Vancouver,V6B 1A1,North,BEAU-SHMP-702,Beauty & Personal Care,Haircare,Botanical Renew Strengthening Shampoo,1,22.0,3.8,22.0,0.05,1.1,20.9,3.8,17.1,CAMP_SPRING_CLEAN,Influencer,0.6,Standard,2024-07-31,2024-08-04,4,6.5,7.8,Apple Pay,4.0,0
ORD-103469,2026-02-01,CUST-01137,Health & Beauty,2024-03-15,Canada,British Columbia,Vancouver,V6B 1A1,North,ELEC-LAP-202,ELECTRONICS,Laptops,Apex Pro 15-inch Laptop,1,1299.0,750.0,1299.0,0.3,389.7,909.3,750.0,159.3,CAMP_BLACK_FRIDAY,Paid Search,0.45,Economy,2026-02-02,2026-02-09,7,6.5,0.0,Debit Card,5.0,0
ORD-101239,2025-05-16,CUST-00493,Budget Conscious,2025-06-19,DE,Bavaria,Munich,80331,Europe,SPRT-MAT-801,Sports & Outdoors,Fitness,EcoGrip Non-Slip 6mm Yoga Mat,1,34.99,10.0,34.99,0.0,0.0,34.99,10.0,24.99,NO_CAMP,Organic,0.0,Standard,2025-05-18,2025-05-22,4,6.5,7.8,Credit Card,5.0,0
ORD-103418,2024-12-02,CUST-00801,Home Decorators,2025-06-10,US,Florida,Miami,33101,South,HOME-KNIF-604,Home/Kitchen,Cookware,Chef Series 8-Piece Knife Set,1,189.0,60.0,189.0,0.0,0.0,189.0,60.0,129.0,CAMP_SPRING_CLEAN,Influencer,0.6,Standard,2024-12-05,2024-12-12,7,6.5,0.0,Credit Card,2.0,0
ORD-104991,2025-09-20,CUST-00513,General Retail,2023-09-20,UK,Lancashire,Manchester,M1 1AE,Europe,SPRT-BOTL-802,Sports & Outdoors,Accessories,HydroShield Insulated Stainless Bottle,5,29.99,7.0,149.95,0.0,0.0,149.95,35.0,114.95,CAMP_SUMMER_25,Email,0.05,Overnight,2025-09-22,2025-09-23,1,17.5,0.0, Credit Card  ,,0
ORD-104645,2026-04-30,CUST-00685,General Retail,2024-05-27,US,Texas,Austin,78701,South,HOME-AIRF-601,Home/Kitchen,Appliances,AeroCrisp Digital Air Fryer XL,1,139.99,55.0,139.99,0.0,0.0,139.99,55.0,84.99,NO_CAMP,Organic,0.0,economy,2026-05-01,2026-05-08,7,6.5,0.0,PayPal,4.0,0
